,Name,Value
0,Erling Haaland,€199.6M
1,Martin Ødegaard,€125.8M
2,Alexander Isak,€119.4M
3,Cole Palmer,€117.4M
4,Alexis Mac Allister,€117M
5,Declan Rice,€116.4M
6,Bukayo Saka,€113M
7,Phil Foden,€99.8M
8,Ryan Gravenberch,€85.5M
9,Moisés Caicedo,€82.8M
10,Bruno Guimarães,€82.3M
11,Morgan Rogers,€79.6M
12,William Saliba,€79.5M
13,Joško Gvardiol,€77.4M
14,Sávio,€74.8M
15,Rúben Dias,€74.5M
16,Enzo Fernández,€74.2M
17,Lucas Paquetá,€73.5M
18,Archie Gray,€72.5M
19,Dominik Szoboszlai,€70.5M
20,Kai Havertz,€70M
21,Luis Díaz,€69.3M
22,Cody Gakpo,€67.7M
23,Brennan Johnson,€67M
24,Nicolas Jackson,€66.9M
26,Jeremy Doku,€66.5M
25,Gabriel Magalhães,€66.5M
27,Leny Yoro,€66.2M
28,Murillo,€66M
29,Amadou Onana,€64.4M
30,Ollie Watkins,€63.2M
31,Mohammed Kudus,€63M
33,Jurriën Timber,€62.7M
32,Rico Lewis,€62.7M
34,Matheus Cunha,€62.6M
35,Eberechi Eze,€62.2M
36,Micky van de Ven,€62M
37,Morgan Gibbs-White,€61.7M
39,Milos Kerkez,€61.6M
38,Curtis Jones,€61.6M
40,João Pedro,€61.3M
41,Bruno Fernandes,€61.2M
42,Pedro Neto,€60.4M
44,Dejan Kulusevski,€60.3M
43,Manuel Ugarte Ribeiro,€60.3M
47,Rasmus Højlund,€60M
46,Gabriel Martinelli,€60M
45,Cristian Romero,€60M
48,Levi Colwill,€59.8M
49,Darwin Núñez,€59.7M
50,Destiny Udogie,€59.4M
51,Alejandro Garnacho,€59.2M
53,Diogo Jota,€58.6M
52,Marcus Rashford,€58.6M
54,Bryan Mbeumo,€57.6M
55,James Maddison,€57.3M
56,Ibrahima Konaté,€57.2M
57,Dean Huijsen,€56.3M
58,Pedro Porro,€55.9M
59,Trent Alexander-Arnold,€55.4M
60,Illia Zabarnyi,€55.1M
61,Kobbie Mainoo,€54.8M
62,Anthony Gordon,€52.4M
63,Noni Madueke,€52.3M
64,Sandro Tonali,€52.1M
65,Christopher Nkunku,€51.3M
67,João Gomes,€51.1M
66,Bernardo Silva,€51.1M
68,Carlos Baleba,€51M
69,Dominic Solanke,€51M
70,Pape Matar Sarr,€50.8M
71,Matthijs de Ligt,€50.8M
72,Adam Wharton,€49.3M
73,Riccardo Calafiori,€49.3M
74,Kaoru Mitoma,€49.2M
75,Lisandro Martínez,€49.2M
76,Marc Guéhi,€48.9M
77,Amad Diallo,€48.6M
78,Jarrod Bowen,€48.4M
79,Valentino Livramento,€48.4M
80,Elliot Anderson,€46.2M
81,Pau Torres,€46.1M
82,Jacob Ramsey,€45.7M
83,Joelinton,€45.7M
84,Anthony Elanga,€45.6M
85,Antoine Semenyo,€45.4M
86,Noussair Mazraoui,€45.3M
87,Boubacar Kamara,€45.2M
89,Justin Kluivert,€44.3M
88,Ezri Konsa,€44.3M
90,Rayan Aït-Nouri,€44M
91,Manuel Akanji,€43.7M
93,Youri Tielemans,€43.3M
92,Joshua Zirkzee,€43.3M
94,Antonee Robinson,€42.7M
95,Harvey Barnes,€42.6M
96,Yankuba Minteh,€42.6M
97,Matheus Nunes,€42.3M
98,Jan Paul van Hecke,€41.9M
99,Guglielmo Vicario,€41.6M
100,Georginio Rutter,€41.2M
101,Nikola Milenković,€40.6M
102,Bilal El Khannouss,€40.6M
103,Emile Smith Rowe,€40.4M
104,Mikel Merino,€39.7M
105,Marc Cucurella,€39.6M
106,Max Kilman,€39.3M
107,Leon Bailey,€38.6M
108,Diogo Dalot,€37.5M
109,Edson Álvarez,€36.7M
110,Jadon Sancho,€36.2M
111,Jean-Clair Todibo,€36.1M
112,Malo Gusto,€36.1M
113,Lewis Hall,€36.1M
114,Myles Lewis-Skelly,€35.7M
115,Pervis Estupiñán,€35.4M
116,André Onana,€34.2M
117,Vitaliy Mykolenko,€33.5M
118,Liam Delap,€33M
119,Jarrad Branthwaite,€32.9M
120,Joachim Andersen,€32.9M
121,Matty Cash,€32.8M
122,Bart Verbruggen,€32M
123,Tyler Dibling,€32M
124,Leandro Trossard,€31.8M
125,Jean-Philippe Mateta,€31.7M
126,Rodrigo Bentancur,€31.4M
127,Yoane Wissa,€31.4M
128,Lucas Bergvall,€31.3M
129,Alex Iwobi,€31.2M
130,Facundo Buonanotte,€31.1M
131,Nathan Collins,€30.7M
132,Wesley Fofana,€30.4M
133,Jørgen Strand Larsen,€30.3M
134,Yves Bissouma,€30M
135,Taylor Harwood-Bellis,€29.9M
136,Calvin Bassey,€29.9M
137,Aaron Wan-Bissaka,€29.7M
138,Kevin Schade,€29.7M
139,André,€29.4M
140,Daniel Muñoz,€28.9M
141,David Raya,€28.7M
142,Son Heung-min,€28.6M
143,Mikkel Damsgaard,€28.6M
144,Radu Drăgușin,€28.4M
145,Leif Davis,€28.4M
146,Dango Ouattara,€28.2M
147,Sander Berge,€27.9M
148,Omari Hutchinson,€27.6M
149,Keane Lewis-Potter,€27.3M
150,Lesley Ugochukwu,€27.1M
151,Dwight McNeil,€27M
152,Evanilson,€26.9M
153,Sepp van den Berg,€26.4M
154,Igor,€25.9M
155,Maxence Lacroix,€25.8M
156,Tomáš Souček,€25.6M
157,Callum Hudson-Odoi,€25.4M
158,Jacob Greaves,€25.4M
159,Wout Faes,€25.3M
160,Mateo Kovačić,€25.3M
161,Tyrick Mitchell,€25.1M
163,Iliman Ndiaye,€24.9M
162,Ismaila Sarr,€24.9M
165,Robert Sánchez,€24.8M
164,Tosin Adarabioyo,€24.8M
166,Tyler Adams,€24.5M
167,Alisson,€24.5M
168,Jesper Lindstrøm,€24.4M
169,Marcus Tavernier,€24.4M
170,Beto,€24.4M
171,Orel Mangala,€24.4M
172,Victor Bernth Kristiansen,€23.9M
173,Jordan Pickford,€23.8M
174,Carlos Soler,€23.3M
175,James Garner,€23.2M
176,Emiliano Martínez,€23M
177,Dean Henderson,€22.7M
178,Neco Williams,€22.6M
179,Mateus Fernandes,€22.5M
180,Vitaly Janelt,€22.2M
181,Dara O'Shea,€21.8M
182,John McGinn,€21.6M
183,Kristoffer Ajer,€21.5M
184,Yasin Ayari,€21.5M
185,Jean-Ricner Bellegarde,€21.3M
186,Andrew Robertson,€20.6M
187,Kevin De Bruyne,€20.4M
188,Wilfred Ndidi,€20.4M
189,Marcos Senesi,€20.3M
190,Trevoh Chalobah,€20.2M
191,Jake O'Brien,€19.7M
192,Lewis Cook,€19.5M
193,Ederson,€19.5M
194,Jack Clarke,€19.4M
195,Ola Aina,€19.3M
196,Djed Spence,€19.2M
197,Mads Hermansen,€19.2M
198,Konstantinos Mavropanos,€19.1M
199,Andreas Pereira,€18.9M
200,Nicolás Domínguez,€18.8M
201,Aaron Ramsdale,€18.7M
202,Toti Gomes,€18.6M
203,Cameron Archer,€18.6M
204,Kamaldeen Sulemana,€18.5M
205,Mohamed Salah,€18.3M
206,Yehor Yarmoliuk,€18M
207,Jack Harrison,€17.9M
208,Issa Diop,€17.9M
209,Jacob Murphy,€17.9M
210,Dominic Calvert-Lewin,€17.8M
211,Ryan Yates,€17.5M
212,Kalvin Phillips,€17.3M
213,Timothy Castagne,€16.8M
214,Virgil van Dijk,€16.6M
215,Caleb Okoli,€16.6M
216,Kyle Walker-Peters,€16.6M
217,James Justin,€16.4M
218,Ryan Christie,€16.2M
219,Bernd Leno,€16M
220,Yukinari Sugawara,€15.8M
221,Chris Richards,€15.7M
222,James Tarkowski,€15.5M
223,Jens Cajuste,€15.4M
224,Boubakary Soumaré,€15.3M
225,Daichi Kamada,€15.1M
226,Adam Armstrong,€15.1M
227,Lucas Digne,€14.8M
228,Thomas Partey,€14.7M
229,Sammie Szmodics,€14.1M
230,Mark Flekken,€13.9M
231,Harry Maguire,€13.8M
232,Guido Rodríguez,€13.6M
233,Kenny Tete,€13.4M
234,Stephy Mavididi,€13.2M
235,Jan Bednarek,€13M
236,Jefferson Lerma,€12.8M
237,Paul Onuachu,€12.7M
238,Emerson Palmieri,€12.7M
239,Ben Johnson,€12.6M
240,Saša Lukić,€12.1M
241,Alphonse Areola,€11.6M
242,Casemiro,€11.6M
243,Nick Pope,€11.5M
244,Harry Winks,€11.5M
245,Kepa Arrizabalaga,€11.4M
246,Idrissa Gana Gueye,€11.4M
247,Santiago Bueno,€11.3M
248,Álex Moreno,€11.2M
249,İlkay Gündoğan,€11M
250,Christian Nørgaard,€10.8M
251,Arijanet Muric,€10.4M
252,Matz Sels,€10.2M
253,Jack Hinshelwood,€9.2M
254,José Sá,€8.6M
255,Flynn Downes,€8.5M
256,Mads Roerslev,€8.4M
257,Rodrigo Muniz,€8.4M
258,Dan Burn,€8.4M
259,Nélson Semedo,€8.3M
260,Adama Traoré,€8.2M
261,Joe Aribo,€8M
262,Chris Wood,€7.9M
263,Ethan Pinnock,€7.6M
264,Fabian Schär,€7.5M
265,Will Hughes,€7.3M
266,Lewis Dunk,€7.1M
267,Joël Veltman,€5.9M
268,Danny Welbeck,€5.9M
269,Stefan Ortega,€5.8M
270,Abdoulaye Doucouré,€5.8M
271,Tyrone Mings,€5.7M
273,Raúl Jiménez,€5.2M
272,Mario Lemina,€5.2M
274,Ben Davies,€5.1M
275,Kyle Walker,€4.9M
277,Jordan Ayew,€4.5M
276,Kieran Trippier,€4.5M
278,Axel Tuanzebe,€4.3M
279,Matt Doherty,€4M
280,Christian Eriksen,€3.9M
281,Ryan Manning,€3.8M
282,Conor Coady,€2.3M
283,Wes Burns,€2.1M
284,Jannik Vestergaard,€2M
285,Luke Woolfenden,€2M
286,Cameron Burgess,€1.7M
287,Craig Dawson,€1.5M
288,Adam Smith,€1.5M
289,Jack Stephens,€1.4M
290,Ashley Young,€1.3M
291,Sam Morsy,€1.3M
292,Jamie Vardy,€1.2M
293,Łukasz Fabiański,€0.9M
